"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","23,125","23,075","23,150","23,000","2.19M","0.43%"
"02/21/2024","23,025","22,925","23,175","22,900","2.40M","0.55%"
"02/20/2024","22,900","22,975","23,075","22,750","2.37M","-0.22%"
"02/19/2024","22,950","23,250","23,275","22,900","2.61M","-1.29%"
"02/16/2024","23,250","23,250","23,400","23,100","2.01M","0.22%"
"02/15/2024","23,200","23,325","23,450","23,125","3.63M","0.22%"
"02/13/2024","23,150","23,225","23,450","23,050","2.09M","-0.32%"
"02/12/2024","23,225","22,900","23,325","22,900","2.26M","1.42%"
"02/07/2024","22,900","22,850","23,100","22,825","2.37M","0.44%"
"02/06/2024","22,800","22,700","22,975","22,700","1.36M","0.55%"
"02/05/2024","22,675","22,850","22,925","22,675","2.08M","-0.77%"
"02/02/2024","22,850","22,850","22,950","22,725","1.99M","0.22%"
"02/01/2024","22,800","22,925","23,075","22,575","2.54M","-0.65%"
"01/31/2024","22,950","23,025","23,200","22,875","2.61M","0.44%"
"01/30/2024","22,850","23,325","23,325","22,800","4.00M","-2.04%"
"01/29/2024","23,325","23,025","23,325","23,025","2.22M","1.52%"
"01/26/2024","22,975","23,150","23,250","22,925","1.48M","-0.65%"
"01/25/2024","23,125","22,475","23,250","22,475","3.39M","2.55%"
"01/24/2024","22,550","22,800","22,850","22,325","3.05M","-0.66%"
"01/23/2024","22,700","23,275","23,425","22,400","6.07M","-2.37%"
"01/22/2024","23,250","24,075","24,075","23,225","4.52M","-3.43%"
"01/19/2024","24,075","24,200","24,300","23,825","2.32M","-0.10%"
"01/18/2024","24,100","24,225","24,550","24,050","3.89M","-0.52%"
"01/17/2024","24,225","25,000","25,000","24,200","5.39M","-1.52%"
"01/16/2024","24,600","24,750","24,800","24,375","4.67M","-0.51%"
"01/15/2024","24,725","23,900","24,750","23,900","6.70M","3.45%"
"01/12/2024","23,900","23,350","23,925","23,325","4.86M","2.58%"
"01/11/2024","23,300","23,350","23,450","23,250","2.33M","0.00%"
"01/10/2024","23,300","23,100","23,450","23,100","2.63M","0.87%"
"01/09/2024","23,100","23,200","23,350","23,025","1.70M","0.33%"
"01/08/2024","23,025","23,300","23,525","23,000","3.13M","-0.97%"
"01/05/2024","23,250","23,500","23,550","23,250","2.37M","-0.11%"
"01/04/2024","23,275","23,225","23,500","23,225","5.24M","0.22%"
"01/03/2024","23,225","23,200","23,400","22,600","6.74M","-1.06%"
"01/02/2024","23,475","22,600","23,575","22,600","4.72M","3.76%"
"12/29/2023","22,625","22,700","22,750","22,500","2.70M","-0.33%"
"12/28/2023","22,700","22,525","22,775","22,450","3.88M","1.23%"
"12/27/2023","22,425","22,025","22,625","21,975","4.57M","1.82%"
"12/22/2023","22,025","22,050","22,150","21,850","2.35M","0.11%"
"12/21/2023","22,000","21,800","22,075","21,775","3.13M","0.92%"
"12/20/2023","21,800","21,875","22,250","21,800","3.79M","-0.11%"
"12/19/2023","21,825","21,750","21,825","21,450","4.45M","0.11%"
"12/18/2023","21,800","21,425","21,850","21,375","4.39M","2.47%"
"12/15/2023","21,275","21,500","21,950","21,275","9.80M","-0.82%"
"12/14/2023","21,450","21,075","21,675","21,000","6.99M","2.51%"
"12/13/2023","20,925","21,700","21,725","20,925","9.86M","-4.23%"
"12/12/2023","21,850","22,000","22,025","21,850","2.22M","0.11%"
"12/11/2023","21,825","22,425","22,450","21,825","3.17M","-2.13%"
"12/08/2023","22,300","21,800","22,350","21,725","6.43M","2.76%"
"12/07/2023","21,700","21,675","21,850","21,425","4.42M","0.35%"
"12/06/2023","21,625","22,050","22,150","21,600","8.21M","-1.93%"
"12/05/2023","22,050","22,425","22,450","22,025","4.38M","-1.67%"
"12/04/2023","22,425","22,200","22,675","22,200","6.25M","1.24%"
"12/01/2023","22,150","22,025","22,350","22,000","6.15M","1.14%"
"11/30/2023","21,900","22,450","22,500","21,900","17.52M","-2.45%"
"11/29/2023","22,450","22,600","22,600","22,300","2.92M","-0.22%"
"11/28/2023","22,500","22,500","22,725","22,325","3.76M","0.22%"
"11/27/2023","22,450","22,625","22,875","22,450","4.82M","-0.77%"
"11/24/2023","22,625","22,575","22,650","22,475","1.90M","0.44%"
"11/23/2023","22,525","22,500","22,575","22,325","3.19M","0.90%"
"11/22/2023","22,325","22,775","22,775","22,275","5.96M","-1.98%"
"11/21/2023","22,775","22,950","22,950","22,700","3.67M","-0.76%"
"11/20/2023","22,950","22,900","23,000","22,750","3.84M","0.33%"
"11/17/2023","22,875","23,450","23,450","22,800","6.36M","-2.45%"
"11/16/2023","23,450","23,425","23,600","23,050","3.24M","0.21%"
"11/15/2023","23,400","23,300","23,900","23,300","4.38M","0.65%"
"11/14/2023","23,250","23,300","23,475","23,225","2.91M","0.00%"
"11/13/2023","23,250","23,100","23,500","23,100","3.47M","0.65%"
"11/10/2023","23,100","22,900","23,175","22,900","2.10M","0.98%"
"11/09/2023","22,875","23,000","23,125","22,875","3.58M","0.33%"
"11/08/2023","22,800","23,375","23,400","22,700","6.14M","-2.46%"
"11/07/2023","23,375","23,775","24,075","23,225","4.40M","-1.58%"
"11/06/2023","23,750","23,825","23,850","23,550","5.45M","-0.11%"
"11/03/2023","23,775","23,800","24,050","23,775","4.86M","0.21%"
"11/02/2023","23,725","24,125","24,350","23,725","8.18M","-1.56%"
"11/01/2023","24,100","25,100","25,100","24,100","5.71M","-4.08%"
"10/31/2023","25,125","24,425","25,300","24,425","5.46M","2.97%"
"10/30/2023","24,400","25,525","25,525","24,300","6.74M","-4.41%"
"10/27/2023","25,525","26,175","26,250","25,525","3.43M","-2.48%"
"10/26/2023","26,175","26,200","26,500","26,000","3.10M","-0.57%"
"10/25/2023","26,325","25,700","26,800","25,700","6.10M","4.26%"
"10/24/2023","25,250","25,000","25,425","24,850","4.69M","1.00%"
"10/23/2023","25,000","25,825","25,850","25,000","6.29M","-3.19%"
"10/20/2023","25,825","26,000","26,050","25,800","4.19M","-0.77%"
"10/19/2023","26,025","26,400","26,400","26,000","2.95M","-1.05%"
"10/18/2023","26,300","26,275","26,425","26,100","10.60M","-0.28%"
"10/17/2023","26,375","26,450","26,475","26,250","2.86M","-0.28%"
"10/16/2023","26,450","26,375","26,450","26,200","4.11M","1.44%"
"10/13/2023","26,075","26,000","26,325","26,000","2.34M","0.77%"
