"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2024","2,360","2,320","2,380","2,310","20.88M","1.72%"
"08/13/2024","2,320","2,330","2,350","2,310","16.88M","1.31%"
"08/12/2024","2,290","2,240","2,310","2,210","45.90M","3.62%"
"08/09/2024","2,210","2,210","2,230","2,190","19.32M","1.38%"
"08/08/2024","2,180","2,200","2,230","2,180","20.33M","-0.91%"
"08/07/2024","2,200","2,210","2,250","2,200","16.72M","0.00%"
"08/06/2024","2,200","2,240","2,250","2,160","24.61M","0.46%"
"08/05/2024","2,190","2,340","2,340","2,160","67.08M","-6.81%"
"08/02/2024","2,350","2,430","2,430","2,350","33.71M","-3.69%"
"08/01/2024","2,440","2,480","2,480","2,430","16.80M","-0.81%"
"07/31/2024","2,460","2,450","2,480","2,430","26.22M","0.82%"
"07/30/2024","2,440","2,420","2,440","2,380","23.51M","1.67%"
"07/29/2024","2,400","2,400","2,420","2,390","11.71M","0.42%"
"07/26/2024","2,390","2,430","2,440","2,390","12.10M","-1.65%"
"07/25/2024","2,430","2,390","2,430","2,350","57.83M","0.83%"
"07/24/2024","2,410","2,380","2,430","2,360","27.96M","1.26%"
"07/23/2024","2,380","2,390","2,390","2,350","22.69M","-0.42%"
"07/22/2024","2,390","2,360","2,440","2,360","43.76M","2.14%"
"07/19/2024","2,340","2,390","2,400","2,330","34.63M","-3.31%"
"07/18/2024","2,420","2,420","2,430","2,390","19.18M","0.00%"
"07/17/2024","2,420","2,430","2,450","2,410","38.32M","1.26%"
"07/16/2024","2,390","2,340","2,390","2,330","21.16M","3.02%"
"07/15/2024","2,320","2,400","2,400","2,320","22.69M","-3.33%"
"07/12/2024","2,400","2,420","2,440","2,370","25.39M","0.00%"
"07/11/2024","2,400","2,440","2,460","2,370","30.82M","-0.83%"
"07/10/2024","2,420","2,440","2,460","2,390","14.95M","-0.82%"
"07/09/2024","2,440","2,480","2,490","2,430","20.86M","-1.61%"
"07/08/2024","2,480","2,480","2,520","2,440","30.60M","1.64%"
"07/05/2024","2,440","2,480","2,490","2,410","24.25M","-1.21%"
"07/04/2024","2,470","2,500","2,510","2,460","26.72M","1.23%"
"07/03/2024","2,440","2,460","2,460","2,410","15.63M","-0.81%"
"07/02/2024","2,460","2,480","2,500","2,430","24.41M","0.00%"
"07/01/2024","2,460","2,400","2,480","2,370","35.87M","3.36%"
"06/28/2024","2,380","2,380","2,400","2,360","17.96M","0.85%"
"06/27/2024","2,360","2,330","2,390","2,320","12.80M","0.85%"
"06/26/2024","2,340","2,400","2,400","2,340","23.59M","-2.50%"
"06/25/2024","2,400","2,330","2,410","2,300","30.79M","3.45%"
"06/24/2024","2,320","2,310","2,340","2,310","13.31M","0.43%"
"06/21/2024","2,310","2,330","2,380","2,310","30.77M","0.43%"
"06/20/2024","2,300","2,310","2,350","2,300","12.97M","-0.43%"
"06/19/2024","2,310","2,300","2,330","2,270","12.29M","1.76%"
"06/14/2024","2,270","2,370","2,390","2,270","30.31M","-4.22%"
"06/13/2024","2,370","2,410","2,430","2,370","16.49M","-0.42%"
"06/12/2024","2,380","2,440","2,450","2,330","36.53M","-2.86%"
"06/11/2024","2,450","2,450","2,510","2,450","20.13M","-0.41%"
"06/10/2024","2,460","2,430","2,540","2,420","29.99M","-1.60%"
"06/07/2024","2,500","2,520","2,520","2,480","21.64M","1.63%"
"06/06/2024","2,460","2,460","2,510","2,440","37.22M","1.65%"
"06/05/2024","2,420","2,620","2,620","2,400","109.06M","-8.68%"
"06/04/2024","2,650","2,700","2,760","2,650","60.53M","-3.28%"
"06/03/2024","2,740","2,700","2,770","2,650","37.30M","1.48%"
"05/31/2024","2,700","2,820","2,890","2,700","164.18M","-3.57%"
"05/30/2024","2,800","2,910","2,930","2,800","49.42M","-3.45%"
"05/29/2024","2,900","2,930","2,970","2,790","52.71M","0.00%"
"05/28/2024","2,900","2,740","2,910","2,710","81.67M","7.41%"
"05/27/2024","2,700","2,770","2,800","2,700","47.39M","-4.26%"
"05/22/2024","2,820","2,790","2,840","2,790","25.79M","1.08%"
"05/21/2024","2,790","2,850","2,860","2,780","31.41M","-1.76%"
"05/20/2024","2,840","2,780","2,880","2,770","110.41M","3.65%"
"05/17/2024","2,740","2,750","2,770","2,720","31.98M","0.00%"
"05/16/2024","2,740","2,780","2,820","2,730","70.66M","-0.36%"
"05/15/2024","2,750","2,700","2,810","2,680","63.96M","0.73%"
"05/14/2024","2,730","2,770","2,800","2,730","31.63M","-0.73%"
"05/13/2024","2,750","2,710","2,800","2,710","49.77M","1.48%"
"05/08/2024","2,710","2,670","2,750","2,670","36.97M","2.26%"
"05/07/2024","2,650","2,650","2,720","2,630","45.65M","0.76%"
"05/06/2024","2,630","2,640","2,640","2,570","25.35M","2.73%"
"05/03/2024","2,560","2,590","2,610","2,530","17.06M","-0.78%"
"05/02/2024","2,580","2,630","2,650","2,500","54.65M","-1.90%"
"04/30/2024","2,630","2,590","2,710","2,590","53.44M","1.94%"
"04/29/2024","2,580","2,530","2,610","2,470","38.00M","2.79%"
"04/26/2024","2,510","2,550","2,580","2,510","29.28M","-0.40%"
"04/25/2024","2,520","2,610","2,630","2,490","38.61M","-3.08%"
"04/24/2024","2,600","2,570","2,600","2,560","25.89M","1.56%"
"04/23/2024","2,560","2,680","2,680","2,540","89.02M","-4.48%"
"04/22/2024","2,680","2,840","2,840","2,680","41.17M","-4.29%"
"04/19/2024","2,800","2,810","2,860","2,770","71.67M","1.45%"
"04/18/2024","2,760","2,820","2,820","2,720","57.01M","-2.82%"
"04/17/2024","2,840","2,880","2,930","2,760","85.99M","-1.39%"
"04/16/2024","2,880","2,720","2,890","2,690","133.17M","9.92%"
"04/05/2024","2,620","2,670","2,730","2,600","63.19M","-2.24%"
"04/04/2024","2,680","2,420","2,720","2,410","174.45M","12.13%"
"04/03/2024","2,390","2,370","2,410","2,350","55.34M","1.70%"
"04/02/2024","2,350","2,300","2,370","2,290","45.44M","2.62%"
"04/01/2024","2,290","2,320","2,370","2,290","45.95M","0.44%"
"03/28/2024","2,280","2,260","2,300","2,240","50.74M","0.44%"
"03/27/2024","2,270","2,300","2,310","2,270","33.43M","-0.87%"
"03/26/2024","2,290","2,350","2,350","2,280","29.93M","-2.14%"
"03/25/2024","2,340","2,350","2,350","2,280","44.26M","0.86%"
"03/22/2024","2,320","2,400","2,400","2,310","42.30M","-3.33%"
"03/21/2024","2,400","2,320","2,420","2,290","144.15M","6.19%"
"03/20/2024","2,260","2,260","2,320","2,250","34.38M","0.44%"
"03/19/2024","2,250","2,270","2,280","2,220","57.82M","-1.32%"
"03/18/2024","2,280","2,290","2,310","2,260","52.83M","-0.44%"
"03/15/2024","2,290","2,350","2,370","2,250","96.95M","-3.78%"
"03/14/2024","2,380","2,430","2,430","2,340","50.96M","-1.24%"
"03/13/2024","2,410","2,410","2,450","2,340","50.41M","1.69%"
"03/08/2024","2,370","2,350","2,430","2,290","63.63M","2.16%"
"03/07/2024","2,320","2,290","2,360","2,280","52.80M","2.65%"
"03/06/2024","2,260","2,270","2,280","2,230","33.53M","0.44%"
"03/05/2024","2,250","2,330","2,340","2,240","31.07M","-1.32%"
"03/04/2024","2,280","2,280","2,330","2,260","35.56M","1.79%"
"03/01/2024","2,240","2,230","2,280","2,230","32.78M","-0.88%"
"02/29/2024","2,260","2,290","2,300","2,250","89.23M","-1.31%"
"02/28/2024","2,290","2,320","2,330","2,280","26.54M","-0.43%"
"02/27/2024","2,300","2,310","2,310","2,290","27.72M","0.00%"
"02/26/2024","2,300","2,380","2,380","2,300","27.51M","-2.54%"
"02/23/2024","2,360","2,430","2,440","2,350","28.64M","-2.07%"
"02/22/2024","2,410","2,410","2,490","2,360","50.39M","2.12%"
"02/21/2024","2,360","2,420","2,430","2,350","30.94M","-2.48%"
"02/20/2024","2,420","2,330","2,440","2,280","69.51M","3.86%"
"02/19/2024","2,330","2,370","2,370","2,280","58.66M","-2.92%"
"02/16/2024","2,400","2,450","2,460","2,400","34.20M","-1.64%"
"02/15/2024","2,440","2,500","2,530","2,430","70.98M","1.24%"
"02/13/2024","2,410","2,440","2,460","2,390","38.77M","-1.23%"
"02/12/2024","2,440","2,430","2,460","2,370","38.55M","1.24%"
"02/07/2024","2,410","2,470","2,500","2,410","35.46M","-2.03%"
"02/06/2024","2,460","2,490","2,550","2,450","37.10M","-0.81%"
"02/05/2024","2,480","2,550","2,560","2,470","23.78M","-2.75%"
"02/02/2024","2,550","2,520","2,590","2,460","46.16M","1.19%"
"02/01/2024","2,520","2,700","2,700","2,440","118.59M","-6.67%"
"01/31/2024","2,700","2,740","2,760","2,700","29.67M","-1.46%"
"01/30/2024","2,740","2,800","2,830","2,720","32.96M","-2.14%"
"01/29/2024","2,800","2,700","2,800","2,700","28.89M","3.70%"
"01/26/2024","2,700","2,760","2,770","2,690","21.74M","-2.17%"
"01/25/2024","2,760","2,740","2,800","2,700","44.85M","1.85%"
"01/24/2024","2,710","2,650","2,770","2,650","55.40M","3.04%"
"01/23/2024","2,630","2,650","2,720","2,570","36.90M","-0.75%"
"01/22/2024","2,650","2,720","2,750","2,610","31.61M","-1.85%"
"01/19/2024","2,700","2,680","2,780","2,680","62.97M","1.12%"
"01/18/2024","2,670","2,540","2,710","2,540","97.31M","5.53%"
"01/17/2024","2,530","2,400","2,580","2,400","96.48M","4.98%"
