"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","3,620","3,580","3,680","3,580","2.84M","1.12%"
"12/27/2024","3,580","3,510","3,640","3,510","2.72M","1.70%"
"12/24/2024","3,520","3,530","3,560","3,520","1.26M","0.28%"
"12/23/2024","3,510","3,550","3,580","3,500","4.68M","-0.85%"
"12/20/2024","3,540","3,600","3,660","3,540","5.15M","-1.67%"
"12/19/2024","3,600","3,710","3,720","3,600","8.66M","-4.00%"
"12/18/2024","3,750","3,760","3,840","3,740","3.20M","-0.27%"
"12/17/2024","3,760","3,850","3,860","3,750","3.62M","-2.34%"
"12/16/2024","3,850","3,950","3,950","3,810","4.08M","-2.53%"
"12/13/2024","3,950","3,920","3,990","3,850","14.62M","1.28%"
"12/12/2024","3,900","3,750","3,950","3,690","13.07M","4.00%"
"12/11/2024","3,750","3,760","3,800","3,720","4.71M","-0.27%"
"12/10/2024","3,760","3,620","3,770","3,620","10.69M","3.87%"
"12/09/2024","3,620","3,650","3,660","3,600","3.22M","-0.55%"
"12/06/2024","3,640","3,640","3,690","3,630","1.70M","0.00%"
"12/05/2024","3,640","3,680","3,680","3,630","4.63M","-1.09%"
"12/04/2024","3,680","3,540","3,710","3,530","6.54M","4.84%"
"12/03/2024","3,510","3,550","3,590","3,510","5.88M","-1.13%"
"12/02/2024","3,550","3,640","3,640","3,550","4.10M","-1.39%"
"11/29/2024","3,600","3,630","3,640","3,580","4.85M","-0.55%"
"11/28/2024","3,620","3,650","3,680","3,610","4.63M","-0.82%"
"11/26/2024","3,650","3,690","3,700","3,650","3.77M","-0.54%"
"11/25/2024","3,670","3,700","3,700","3,650","7.35M","0.27%"
"11/22/2024","3,660","3,680","3,690","3,650","6.59M","-0.54%"
"11/21/2024","3,680","3,720","3,720","3,670","3.39M","-1.08%"
"11/20/2024","3,720","3,720","3,740","3,680","4.60M","0.27%"
"11/19/2024","3,710","3,710","3,790","3,710","5.66M","0.54%"
"11/18/2024","3,690","3,800","3,800","3,690","5.42M","-3.40%"
"11/15/2024","3,820","3,820","3,840","3,750","6.39M","0.26%"
"11/14/2024","3,810","3,740","3,970","3,710","15.25M","1.87%"
"11/13/2024","3,740","3,680","3,760","3,680","5.11M","1.63%"
"11/12/2024","3,680","3,700","3,710","3,660","5.78M","-0.54%"
"11/11/2024","3,700","3,820","3,820","3,680","11.32M","-3.14%"
"11/08/2024","3,820","3,760","3,840","3,760","9.22M","2.41%"
"11/07/2024","3,730","3,740","3,770","3,670","9.86M","0.00%"
"11/06/2024","3,730","3,840","3,850","3,710","9.16M","-2.86%"
"11/05/2024","3,840","3,830","3,870","3,760","7.78M","1.86%"
"11/04/2024","3,770","3,820","3,860","3,770","8.07M","-0.79%"
"11/01/2024","3,800","3,820","3,840","3,760","5.66M","-0.52%"
"10/31/2024","3,820","3,800","3,890","3,750","24.11M","-1.29%"
